DATE,ASPNHSUS
2002-01-01,226900
2002-02-01,226500
2002-03-01,227100
2002-04-01,228100
2002-05-01,226500
2002-06-01,225200
2002-07-01,217800
2002-08-01,221300
2002-09-01,215300
2002-10-01,231300
2002-11-01,227100
2002-12-01,237800
2003-01-01,230200
2003-02-01,233400
2003-03-01,231100
2003-04-01,237200
2003-05-01,243700
2003-06-01,239700
2003-07-01,248400
2003-08-01,241000
2003-09-01,254500
2003-10-01,242800
2003-11-01,268300
2003-12-01,253900
2004-01-01,262100
2004-02-01,264100
2004-03-01,261000
2004-04-01,269300
2004-05-01,260400
2004-06-01,263200
2004-07-01,279200
2004-08-01,272200
2004-09-01,269200
2004-10-01,289600
2004-11-01,283200
2004-12-01,284300
2005-01-01,283000
2005-02-01,289100
2005-03-01,289600
2005-04-01,289100
2005-05-01,287400
2005-06-01,279600
2005-07-01,289300
2005-08-01,295000
2005-09-01,299600
2005-10-01,293600
2005-11-01,294400
2005-12-01,290200
2006-01-01,301000
2006-02-01,307900
2006-03-01,298800
2006-04-01,310300
2006-05-01,293900
2006-06-01,305000
2006-07-01,311300
2006-08-01,317300
2006-09-01,296200
2006-10-01,306800
2006-11-01,291800
2006-12-01,301900
2007-01-01,314600
2007-02-01,321500
2007-03-01,329400
2007-04-01,311700
2007-05-01,309700
2007-06-01,306500
2007-07-01,307100
2007-08-01,301300
2007-09-01,292200
2007-10-01,310100
2007-11-01,316800
2007-12-01,284400
2008-01-01,284600
2008-02-01,301200
2008-03-01,287600
2008-04-01,314300
2008-05-01,298200
2008-06-01,299400
2008-07-01,301900
2008-08-01,265500
2008-09-01,287100
2008-10-01,274000
2008-11-01,290100
2008-12-01,263100
2009-01-01,245200
2009-02-01,258600
2009-03-01,259800
2009-04-01,269800
2009-05-01,274600
2009-06-01,274800
2009-07-01,271100
2009-08-01,257800
2009-09-01,290300
2009-10-01,263800
2009-11-01,274700
2009-12-01,278300
2010-01-01,283400
2010-02-01,284100
2010-03-01,262900
2010-04-01,270500
2010-05-01,281100
2010-06-01,256700
2010-07-01,252100
2010-08-01,268800
2010-09-01,270800
2010-10-01,254400
2010-11-01,281700
2010-12-01,291700
2011-01-01,275700
2011-02-01,262800
2011-03-01,260800
2011-04-01,268900
2011-05-01,262700
2011-06-01,273100
2011-07-01,270300
2011-08-01,259300
2011-09-01,255400
2011-10-01,258300
2011-11-01,250000
2011-12-01,262900
2012-01-01,265700
2012-02-01,274000
2012-03-01,283600
2012-04-01,287900
2012-05-01,280900
2012-06-01,271800
2012-07-01,282300
2012-08-01,305500
2012-09-01,297700
2012-10-01,285400
2012-11-01,290700
2012-12-01,299200
2013-01-01,306900
2013-02-01,312500
2013-03-01,300200
2013-04-01,337000
2013-05-01,314000
2013-06-01,306100
2013-07-01,329900
2013-08-01,310800
2013-09-01,321400
2013-10-01,335700
2013-11-01,335600
2013-12-01,321200
2014-01-01,337300
2014-02-01,325900
2014-03-01,331500
2014-04-01,325100
2014-05-01,323500
2014-06-01,338100
2014-07-01,345200
2014-08-01,356200
2014-09-01,319100
2014-10-01,377500
2014-11-01,348900
2014-12-01,373200
2015-01-01,348300
2015-02-01,346300
2015-03-01,349300
2015-04-01,340400
2015-05-01,336200
2015-06-01,326900
2015-07-01,341200
2015-08-01,343300
2015-09-01,357200
2015-10-01,368900
2015-11-01,373200
2015-12-01,352500
2016-01-01,361200
2016-02-01,341700
2016-03-01,359000
2016-04-01,369300
2016-05-01,349700
2016-06-01,357800
2016-07-01,353000
2016-08-01,355100
2016-09-01,366100
2016-10-01,352200
2016-11-01,363400
2016-12-01,382500
2017-01-01,357700
2017-02-01,370500
2017-03-01,384400
2017-04-01,365800
2017-05-01,378400
2017-06-01,370600
2017-07-01,372400
2017-08-01,369200
2017-09-01,379300
2017-10-01,394000.0
2017-11-01,388500.0
2017-12-01,402900.0
2018-01-01,377800.0
2018-02-01,373600.0
2018-03-01,369200.0
2018-04-01,385100.0
2018-05-01,372600.0
2018-06-01,370100.0
2018-07-01,392300.0
2018-08-01,380900.0
2018-09-01,386400.0
2018-10-01,394900.0
2018-11-01,367100.0
2018-12-01,381800.0
2019-01-01,361100.0
2019-02-01,383600.0
2019-03-01,372700.0
2019-04-01,385400.0
2019-05-01,379100.0
2019-06-01,361900.0
2019-07-01,373500.0
2019-08-01,392700.0
2019-09-01,372100.0
2019-10-01,380300.0
2019-11-01,384400.0
2019-12-01,377700.0
2020-01-01,384000.0
2020-02-01,386200.0
2020-03-01,375400.0
2020-04-01,360300.0
2020-05-01,368700.0
2020-06-01,382200.0
2020-07-01,379100.0
2020-08-01,386300.0
2020-09-01,405100.0
2020-10-01,394600.0
2020-11-01,396100.0
2020-12-01,401700.0
2021-01-01,418600
2021-02-01,407500
2021-03-01,414700
2021-04-01,434800
2021-05-01,445300
2021-06-01,431900
2021-07-01,462100
2021-08-01,470000
2021-09-01,470600
2021-10-01,487700
2021-11-01,498800
2021-12-01,491000
2022-01-01,501200
2022-02-01,522200
2022-03-01,511800
2022-04-01,562400
2022-05-01,521500
2022-06-01,472000
2022-07-01,564900
2022-08-01,530800
2022-09-01,530100
2022-10-01,543300
2022-11-01,527400
2022-12-01,568700
2023-01-01,495600
2023-02-01,499100
2023-03-01,519600.0
2023-04-01,500900.0
2023-05-01,495800.0
2023-06-01,507800.0
2023-07-01,507600.0
2023-08-01,526400.0
2023-09-01,515400.0
2023-10-01,487000.0
