DATE,CSUSHPISA,Year,Month,Per_Capita_GDP,Working_Population,Houses,CPI,UNRATE,Cons_Materials,FEDFUNDS
2002-01-01,117.144,2002,1,50091.0,182566431.891724,1632.0,205.1,5.7,142.0,1.73
2002-02-01,117.845,2002,2,50156.0,182798390.110259,1671.0,206.0,5.7,142.2,1.74
2002-03-01,118.687,2002,3,50221.0,183078312.425159,1559.0,206.3,5.7,143.2,1.73
2002-04-01,119.611,2002,4,50286.0,183260453.015323,1625.0,207.0,5.9,143.5,1.75
2002-05-01,120.724,2002,5,50311.333333333336,183508212.496981,1705.0,207.4,5.8,143.8,1.75
2002-06-01,121.813,2002,6,50336.666666666664,183669058.444073,1589.0,207.8,5.8,144.3,1.75
2002-07-01,122.888,2002,7,50362.0,183886883.515181,1615.0,208.2,5.8,144.7,1.73
2002-08-01,123.83,2002,8,50342.0,184159563.752198,1722.0,208.9,5.7,145.1,1.74
2002-09-01,124.78,2002,9,50322.0,184422418.039234,1641.0,209.4,5.7,145.4,1.75
2002-10-01,125.735,2002,10,50302.0,184554225.96952,1601.0,209.7,5.7,145.0,1.75
2002-11-01,126.67,2002,11,50355.333333333336,184744733.237442,1718.0,210.4,5.9,144.6,1.34
2002-12-01,127.624,2002,12,50408.666666666664,184860046.150508,1671.0,210.8,6.0,144.3,1.24
2003-01-01,128.461,2003,1,50462.0,185635346.37315,1654.0,211.5,5.8,144.4,1.24
2003-02-01,129.355,2003,2,50573.333333333336,185869692.256356,1688.0,211.6,5.9,145.2,1.26
2003-03-01,130.148,2003,3,50684.666666666664,186085118.209936,1638.0,211.5,5.9,145.2,1.25
2003-04-01,130.884,2003,4,50796.0,186470753.987361,1662.0,211.6,6.0,145.9,1.26
2003-05-01,131.735,2003,5,51034.666666666664,186649077.97267705,1733.0,212.6,6.1,145.8,1.26
2003-06-01,132.649,2003,6,51273.333333333336,186800679.576504,1641.0,212.6,6.3,146.1,1.22
2003-07-01,133.77700000000002,2003,7,51512.0,187066500.33798295,1680.0,213.2,6.2,147.0,1.01
2003-08-01,134.969,2003,8,51670.0,187304009.475925,1570.0,213.6,6.1,147.2,1.03
2003-09-01,136.29399999999998,2003,9,51828.0,187538981.253475,1719.0,214.0,6.1,149.0,1.01
2003-10-01,137.531,2003,10,51986.0,187738514.819484,1728.0,214.7,6.0,149.6,1.01
2003-11-01,138.79399999999998,2003,11,52050.333333333336,187972351.58827305,1692.0,215.1,5.8,150.2,1.0
2003-12-01,140.179,2003,12,52114.666666666664,188136094.87789,1716.0,215.5,5.7,149.7,0.98
2004-01-01,141.64600000000002,2004,1,52179.0,187688839.482615,1709.0,215.9,5.7,150.0,1.0
2004-02-01,143.192,2004,2,52275.666666666664,187876003.023031,1718.0,215.8,5.6,153.4,1.01
2004-03-01,145.059,2004,3,52372.333333333336,188058175.618794,1794.0,217.0,5.8,156.5,1.0
2004-04-01,146.593,2004,4,52469.0,188320660.933455,1938.0,217.8,5.6,160.1,1.0
2004-05-01,148.186,2004,5,52591.0,188475226.058824,1893.0,218.5,5.6,162.7,1.0
2004-06-01,149.85,2004,6,52713.0,188689296.34988895,1857.0,218.9,5.6,162.0,1.03
2004-07-01,151.338,2004,7,52835.0,188839779.735266,1881.0,219.3,5.5,162.2,1.26
2004-08-01,152.63299999999998,2004,8,52970.666666666664,189070874.198522,1911.0,219.6,5.4,165.9,1.43
2004-09-01,154.179,2004,9,53106.333333333336,189216972.380313,1796.0,220.4,5.4,167.2,1.61
2004-10-01,155.75,2004,10,53242.0,189444450.963992,1839.0,220.7,5.5,165.9,1.76
2004-11-01,157.52700000000002,2004,11,53401.0,189655307.838414,1758.0,220.9,5.4,165.5,1.93
2004-12-01,159.33,2004,12,53560.0,189811053.36688295,1921.0,221.3,5.4,166.3,2.16
2005-01-01,161.28799999999998,2005,1,53719.0,189990144.46577495,1892.0,221.7,5.3,168.6,2.28
2005-02-01,163.344,2005,2,53768.666666666664,190144602.89026895,1908.0,222.5,5.4,170.4,2.5
2005-03-01,165.812,2005,3,53818.333333333336,190460726.509212,1787.0,223.7,5.2,170.0,2.63
